DNI,Nom,Cognoms,Nombre_completo,País d'origen,Nacionalidad_esp,Ciutat,Fecha_de_nacimiento,Dia,Mes,Año,Edad,Gènere,Fills,Grup Professional,Salari mensual,Increment,Salario_incrementado
27724652S,Clara,Sánchez Martínez,Clara Sánchez Martínez,Espanya,Sí,Barcelona,1996-03-18,18,3,1996,30,Dona,Sí,Grup A,1253.0,0.05,1315.65
38141675A,Fatima,Fassi,Fatima Fassi,Marroc,No,Rabat,2005-11-06,6,11,2005,20,Altres,Sí,Grup A,1441.0,0.05,1513.05
69630528M,Toni,Sánchez García,Toni Sánchez García,Espanya,Sí,Barcelona,1999-08-09,9,8,1999,26,Home,No,Grup A,1043.0,0.05,1095.15
78247593G,Carla,García,Carla García,Espanya,Sí,València,1957-12-24,24,12,1957,68,Dona,No,Grup A,942.0,0.05,989.1
21774231J,Marco,Rossi,Marco Rossi,Itàlia,No,Torí,2002-11-03,3,11,2002,23,Altres,No,Grup A,1494.0,0.05,1568.7
87316866D,Alessia,Rossi,Alessia Rossi,Itàlia,No,Milà,1989-12-06,6,12,1989,36,Dona,No,Grup A,1366.0,0.05,1434.3
14219925Z,Toni,Martínez,Toni Martínez,Espanya,Sí,Barcelona,1964-05-16,16,5,1964,62,Home,No,Grup A,891.0,0.05,935.5500000000001
40695825B,Oriol,Sánchez,Oriol Sánchez,Espanya,Sí,Barcelona,1965-07-27,27,7,1965,60,Home,No,Grup A,1250.0,0.05,1312.5
66129686T,Jean,Dubois,Jean Dubois,França,No,Marsella,1964-12-16,16,12,1964,61,Home,Sí,Grup A,1593.0,0.05,1672.65
83982081H,Eva,Castells,Eva Castells,Espanya,Sí,Sevilla,1968-05-03,3,5,1968,58,,Sí,Grup A,1247.0,0.05,1309.3500000000001
86981189A,Camila,Hernández Ramírez,Camila Hernández Ramírez,Mèxic,No,Guadalajara,1996-12-17,17,12,1996,29,Dona,Sí,Grup A,1170.0,0.05,1228.5
13107162J,Núria,Castells,Núria Castells,Espanya,Sí,Barcelona,2005-07-02,2,7,2005,20,Dona,Sí,Grup A,1344.0,0.05,1411.2
