DNI,Nom,Cognoms,Nombre_completo,País d'origen,Nacionalidad_esp,Ciutat,Fecha_de_nacimiento,Dia,Mes,Año,Edad,Gènere,Fills,Grup Professional,Salari mensual,Increment,Salario_incrementado
16928694K,Inês,Ferreira Silva,Inês Ferreira Silva,Portugal,No,Lisboa,1953-02-25,25,2,1953,73,Dona,No,Grup B,1144.0,0.035,1184.04
59157262R,Khadija,Bennani Bennani,Khadija Bennani Bennani,Marroc,No,Rabat,1995-01-20,20,1,1995,31,Dona,No,Grup B,1944.0,0.035,2012.0399999999997
74222289K,Toni,Castells Romero,Toni Castells Romero,Espanya,Sí,Barcelona,1961-04-13,13,4,1961,65,Home,No,Grup B,1438.0,0.035,1488.33
22021087Z,Núria,García López,Núria García López,Espanya,Sí,Madrid,1969-06-08,8,6,1969,56,Dona,No,Grup B,1374.0,0.035,1422.09
29801291B,Toni,Castells Martínez,Toni Castells Martínez,Espanya,Sí,Barcelona,1981-01-10,10,1,1981,45,Home,Sí,Grup B,2102.0,0.035,2175.5699999999997
83874145K,Chloé,Lefevre,Chloé Lefevre,França,No,Marsella,1973-09-10,10,9,1973,52,Dona,Sí,Grup B,1901.0,0.035,1967.5349999999999
17029292R,Marc,Romero Martínez,Marc Romero Martínez,Espanya,Sí,Bilbao,1993-07-04,4,7,1993,32,Home,Sí,Grup B,2027.0,0.035,2097.9449999999997
59690898N,Oriol,López Ferrer,Oriol López Ferrer,Espanya,Sí,Barcelona,1969-11-03,3,11,1969,56,Home,Sí,Grup B,1498.0,0.035,1550.4299999999998
60170471X,Toni,Martínez Castells,Toni Martínez Castells,Espanya,Sí,Sevilla,1952-04-20,20,4,1952,74,Altres,No,Grup B,2129.0,0.035,2203.515
37846341L,Isla,Jones,Isla Jones,Regne Unit,No,Manchester,1985-06-26,26,6,1985,40,Dona,Sí,Grup B,1412.0,0.035,1461.4199999999998
33445957H,Eva,Ferrer Martínez,Eva Ferrer Martínez,Espanya,Sí,Sevilla,1960-05-04,4,5,1960,66,Dona,No,Grup B,1421.0,0.035,1470.735
96482330F,Marc,Ferrer Ferrer,Marc Ferrer Ferrer,Espanya,Sí,Bilbao,1974-03-20,20,3,1974,52,Home,Sí,Grup B,1550.0,0.035,1604.2499999999998
90731738C,Pau,Martínez,Pau Martínez,Espanya,Sí,Madrid,1999-08-17,17,8,1999,26,Home,No,Grup B,1971.0,0.035,2039.985
45888164B,Giulia,Conti,Giulia Conti,Itàlia,No,Roma,1998-07-08,8,7,1998,27,Dona,Sí,Grup B,1968.0,0.035,2036.8799999999999
89187959Z,Anna,Sánchez,Anna Sánchez,Espanya,Sí,Sevilla,1955-10-21,21,10,1955,70,Dona,No,Grup B,1304.0,0.035,1349.6399999999999
17851044J,Pau,Ferrer,Pau Ferrer,Espanya,Sí,Bilbao,1957-04-25,25,4,1957,69,Home,Sí,Grup B,1319.0,0.035,1365.165
16587202X,Eva,López,Eva López,Espanya,Sí,Bilbao,1974-12-16,16,12,1974,51,Dona,No,Grup B,1963.0,0.035,2031.705
43485739Q,Andrés,González,Andrés González,Mèxic,No,Guadalajara,1992-02-26,26,2,1992,34,Home,Sí,Grup B,2279.0,0.035,2358.765
32384138R,Clara,Sánchez López,Clara Sánchez López,Espanya,Sí,València,1955-07-27,27,7,1955,70,Dona,Sí,Grup B,2013.0,0.035,2083.455
27772301M,Anna,Castells Romero,Anna Castells Romero,Espanya,Sí,València,1978-08-25,25,8,1978,47,Dona,No,Grup B,1672.0,0.035,1730.5199999999998
44988676P,Eva,Sánchez,Eva Sánchez,Espanya,Sí,Bilbao,1977-01-10,10,1,1977,49,Dona,No,Grup B,1887.0,0.035,1953.0449999999998
58904747N,Joan,Ferrer,Joan Ferrer,Espanya,Sí,Bilbao,1994-11-13,13,11,1994,31,Home,No,Grup B,1521.0,0.035,1574.235
63852668M,Anna,Sánchez García,Anna Sánchez García,Espanya,Sí,Sevilla,1993-07-13,13,7,1993,32,Dona,No,Grup B,1452.0,0.035,1502.82
57230838V,Khadija,Fassi,Khadija Fassi,Marroc,No,Rabat,1970-05-10,10,5,1970,56,Dona,No,Grup B,1422.0,0.035,1471.77
23876940J,Marta,Romero,Marta Romero,Espanya,Sí,València,2002-11-25,25,11,2002,23,Dona,No,Grup B,1258.0,0.035,1302.03
45581974X,Núria,Romero,Núria Romero,Espanya,Sí,Madrid,1993-10-26,26,10,1993,32,Dona,Sí,Grup B,1352.0,0.035,1399.32
91110497A,Arnau,García,Arnau García,Espanya,Sí,València,1954-01-02,2,1,1954,72,Home,No,Grup B,2126.0,0.035,2200.41
90181637T,Núria,López,Núria López,Espanya,Sí,Bilbao,1973-01-01,1,1,1973,53,Dona,Sí,Grup B,1667.0,0.035,1725.3449999999998
82953871E,Toni,Castells,Toni Castells,Espanya,Sí,València,1963-04-01,1,4,1963,63,Home,Sí,Grup B,1764.0,0.035,1825.7399999999998
57340670Z,Gabriela,González,Gabriela González,Mèxic,No,Ciutat de Mèxic,1955-06-17,17,6,1955,70,Dona,Sí,Grup B,1612.0,0.035,1668.4199999999998
21762997G,Pau,Sánchez,Pau Sánchez,Espanya,Sí,Barcelona,1962-03-13,13,3,1962,64,Home,No,Grup B,1473.0,0.035,1524.5549999999998
53012171X,Laia,Sánchez Castells,Laia Sánchez Castells,Espanya,Sí,Barcelona,1970-11-21,21,11,1970,55,Dona,Sí,Grup B,2057.0,0.035,2128.995
41156735G,Toni,Castells,Toni Castells,Espanya,Sí,Bilbao,1990-06-07,7,6,1990,35,Home,No,Grup B,1674.0,0.035,1732.59
12234836K,Chloé,Girard,Chloé Girard,França,No,Marsella,1977-04-17,17,4,1977,49,Dona,Sí,Grup B,1985.0,0.035,2054.475
99521295N,Anna,Castells Martínez,Anna Castells Martínez,Espanya,Sí,València,1991-04-03,3,4,1991,35,Dona,No,Grup B,1414.0,0.035,1463.4899999999998
37399141L,Laura,Schneider Fischer,Laura Schneider Fischer,Alemanya,No,Berlín,1958-02-02,2,2,1958,68,Dona,Sí,Grup B,1769.0,0.035,1830.915
15110846Z,Oriol,López,Oriol López,Espanya,Sí,València,2002-06-27,27,6,2002,23,Home,No,Grup B,1308.0,0.035,1353.78
83165476Y,Núria,García Ferrer,Núria García Ferrer,Espanya,Sí,Sevilla,1957-06-17,17,6,1957,68,Altres,No,Grup B,1240.0,0.035,1283.3999999999999
28967396E,Daniel,Gutiérrez Castro,Daniel Gutiérrez Castro,Colòmbia,No,Medellín,1976-05-04,4,5,1976,50,Home,No,Grup B,1456.0,0.035,1506.9599999999998
47304350Y,Jordi,Ferrer,Jordi Ferrer,Espanya,Sí,València,1967-06-21,21,6,1967,58,Home,Sí,Grup B,1330.0,0.035,1376.55
54585678Q,Pau,López Martínez,Pau López Martínez,Espanya,Sí,Bilbao,1967-05-22,22,5,1967,58,Home,Sí,Grup B,2125.0,0.035,2199.375
42625930X,Joan,Romero,Joan Romero,Espanya,Sí,Bilbao,1987-11-15,15,11,1987,38,Home,No,Grup B,1528.0,0.035,1581.4799999999998
44075059L,Oriol,Sánchez Sánchez,Oriol Sánchez Sánchez,Espanya,Sí,Bilbao,2002-03-17,17,3,2002,24,Home,Sí,Grup B,1815.0,0.035,1878.5249999999999
24435321M,Marta,Castells Ferrer,Marta Castells Ferrer,Espanya,Sí,Sevilla,1981-03-15,15,3,1981,45,Dona,Sí,Grup B,1872.0,0.035,1937.5199999999998
68455541R,Sofia,Oliveira,Sofia Oliveira,Portugal,No,Porto,1952-07-05,5,7,1952,73,Dona,No,Grup B,1413.0,0.035,1462.455
12763903J,Eva,Martínez,Eva Martínez,Espanya,Sí,Madrid,1974-10-19,19,10,1974,51,,No,Grup B,2015.0,0.035,2085.5249999999996
87744901Q,Toni,García,Toni García,Espanya,Sí,Bilbao,1990-09-20,20,9,1990,35,Home,No,Grup B,1698.0,0.035,1757.4299999999998
28996393T,Oriol,Sánchez Martínez,Oriol Sánchez Martínez,Espanya,Sí,Sevilla,1981-01-05,5,1,1981,45,Home,No,Grup B,1941.0,0.035,2008.935
55395479J,Anna,Ferrer,Anna Ferrer,Espanya,Sí,València,1984-10-06,6,10,1984,41,Dona,Sí,Grup B,1531.0,0.035,1584.5849999999998
33939128K,Matías,Gómez Gómez,Matías Gómez Gómez,Argentina,No,Còrdova,2002-08-18,18,8,2002,23,Home,Sí,Grup B,2080.0,0.035,2152.7999999999997
28394981G,Jean,Girard Moreau,Jean Girard Moreau,França,No,París,1991-09-26,26,9,1991,34,,Sí,Grup B,1573.0,0.035,1628.0549999999998
83703395A,Pau,Martínez,Pau Martínez,Espanya,Sí,Madrid,1959-02-14,14,2,1959,67,Home,No,Grup B,2100.0,0.035,2173.5
73749390X,Eva,Romero Ferrer,Eva Romero Ferrer,Espanya,Sí,València,1965-12-07,7,12,1965,60,Dona,No,Grup B,1861.0,0.035,1926.1349999999998
42823610D,Eva,Castells,Eva Castells,Espanya,Sí,Madrid,1956-07-09,9,7,1956,69,Dona,Sí,Grup B,1669.0,0.035,1727.415
75141877A,Fatima,Fassi,Fatima Fassi,Marroc,No,Casablanca,1958-03-18,18,3,1958,68,Dona,No,Grup B,1154.0,0.035,1194.3899999999999
43586389Z,Jordi,Ferrer,Jordi Ferrer,Espanya,Sí,Sevilla,1958-02-15,15,2,1958,68,Home,No,Grup B,1797.0,0.035,1859.8949999999998
98144857C,Arnau,Sánchez,Arnau Sánchez,Espanya,Sí,Sevilla,1990-10-21,21,10,1990,35,Home,No,Grup B,2149.0,0.035,2224.2149999999997
33058070M,Marta,Romero García,Marta Romero García,Espanya,Sí,Madrid,1973-05-11,11,5,1973,53,Dona,No,Grup B,1929.0,0.035,1996.5149999999999
41916963A,Marta,Romero,Marta Romero,Espanya,Sí,Sevilla,1976-04-27,27,4,1976,50,Dona,No,Grup B,1759.0,0.035,1820.5649999999998
33287222R,Toni,Romero,Toni Romero,Espanya,Sí,València,1974-01-19,19,1,1974,52,Home,No,Grup B,1451.0,0.035,1501.7849999999999
29151933K,Arnau,Romero Romero,Arnau Romero Romero,Espanya,Sí,València,1968-10-08,8,10,1968,57,Home,No,Grup B,1811.0,0.035,1874.3849999999998
21050694P,Toni,Sánchez,Toni Sánchez,Espanya,Sí,Barcelona,1987-01-01,1,1,1987,39,Home,No,Grup B,1493.0,0.035,1545.2549999999999
90216874S,Jordi,Ferrer,Jordi Ferrer,Espanya,Sí,Sevilla,2003-07-12,12,7,2003,22,Home,No,Grup B,1413.0,0.035,1462.455
74017954Q,Anna,Sánchez,Anna Sánchez,Espanya,Sí,València,1981-02-25,25,2,1981,45,Dona,No,Grup B,1200.0,0.035,1242.0
73563832M,Oriol,Ferrer Romero,Oriol Ferrer Romero,Espanya,Sí,Madrid,1985-02-09,9,2,1985,41,Home,No,Grup B,1970.0,0.035,2038.9499999999998
86350703G,Sophie,Smith,Sophie Smith,Regne Unit,No,Manchester,1957-01-08,8,1,1957,69,Dona,Sí,Grup B,1254.0,0.035,1297.8899999999999
37368317L,Lea,Schneider Schneider,Lea Schneider Schneider,Alemanya,No,Berlín,2005-10-23,23,10,2005,20,Dona,No,Grup B,2013.0,0.035,2083.455
83710837G,José,González Ramírez,José González Ramírez,Mèxic,No,Ciutat de Mèxic,1955-03-02,2,3,1955,71,Home,No,Grup B,1677.0,0.035,1735.695
69273831N,Sara,Gutiérrez,Sara Gutiérrez,Colòmbia,No,Bogotà,1970-02-26,26,2,1970,56,Dona,No,Grup B,1893.0,0.035,1959.2549999999999
27292471C,Eva,García,Eva García,Espanya,Sí,Bilbao,1962-10-18,18,10,1962,63,,No,Grup B,2135.0,0.035,2209.725
41171214L,Jordi,Romero García,Jordi Romero García,Espanya,Sí,Sevilla,2000-08-06,6,8,2000,25,Home,Sí,Grup B,1972.0,0.035,2041.0199999999998
15594293F,Emily,Jones,Emily Jones,Regne Unit,No,Londres,1969-11-15,15,11,1969,56,Dona,No,Grup B,1274.0,0.035,1318.59
51884150Q,Joan,Romero Sánchez,Joan Romero Sánchez,Espanya,Sí,Bilbao,1951-07-24,24,7,1951,74,Home,Sí,Grup B,1493.0,0.035,1545.2549999999999
65118360Z,Joan,Romero Martínez,Joan Romero Martínez,Espanya,Sí,Bilbao,1954-11-19,19,11,1954,71,Home,No,Grup B,2091.0,0.035,2164.185
21526488C,Joan,Sánchez,Joan Sánchez,Espanya,Sí,València,1997-08-09,9,8,1997,28,Home,Sí,Grup B,2303.0,0.035,2383.605
49061102W,Mohamed,El Amrani Zahraoui,Mohamed El Amrani Zahraoui,Marroc,No,Casablanca,1984-08-12,12,8,1984,41,Altres,Sí,Grup B,1545.0,0.035,1599.0749999999998
60287803J,Pau,Ferrer,Pau Ferrer,Espanya,Sí,Barcelona,1991-03-15,15,3,1991,35,Home,Sí,Grup B,1503.0,0.035,1555.6049999999998
24315095T,Toni,Ferrer,Toni Ferrer,Espanya,Sí,Bilbao,1964-02-24,24,2,1964,62,Altres,No,Grup B,2140.0,0.035,2214.8999999999996
