DNI,Nom,Cognoms,Nombre_completo,País d'origen,Nacionalidad_esp,Ciutat,Fecha_de_nacimiento,Dia,Mes,Año,Edad,Gènere,Fills,Grup Professional,Salari mensual,Increment,Salario_incrementado
96880751H,Marta,Martínez Martínez,Marta Martínez Martínez,Espanya,Sí,Bilbao,1995-08-23,23,8,1995,30,,No,Grup C,2007.0,0.02,2047.14
87645157V,Joan,López,Joan López,Espanya,Sí,Sevilla,1964-10-13,13,10,1964,61,Home,Sí,Grup C,2605.0,0.02,2657.1
23837247D,Miguel,Oliveira Pereira,Miguel Oliveira Pereira,Portugal,No,Lisboa,1978-09-19,19,9,1978,47,Home,No,Grup C,2249.0,0.02,2293.98
24894099R,Tomás,Rodríguez Fernández,Tomás Rodríguez Fernández,Argentina,No,Còrdova,1986-04-20,20,4,1986,40,Home,Sí,Grup C,2584.0,0.02,2635.68
52684613F,Núria,Castells,Núria Castells,Espanya,Sí,Bilbao,1960-11-14,14,11,1960,65,,Sí,Grup C,2800.0,0.02,2856.0
13327616P,Tomás,Fernández Álvarez,Tomás Fernández Álvarez,Argentina,No,Còrdova,1958-09-08,8,9,1958,67,Home,No,Grup C,2481.0,0.02,2530.62
32306507M,Laia,López,Laia López,Espanya,Sí,Madrid,1964-07-11,11,7,1964,61,,Sí,Grup C,2063.0,0.02,2104.26
69153285Z,Pau,Sánchez,Pau Sánchez,Espanya,Sí,Madrid,2001-10-08,8,10,2001,24,Home,No,Grup C,2091.0,0.02,2132.82
61151031X,Toni,Martínez,Toni Martínez,Espanya,Sí,València,1992-09-12,12,9,1992,33,Home,Sí,Grup C,2549.0,0.02,2599.98
53037156T,José,Ramírez Hernández,José Ramírez Hernández,Mèxic,No,Guadalajara,1966-06-11,11,6,1966,59,Home,No,Grup C,1929.0,0.02,1967.58
39421964W,Marta,Ferrer López,Marta Ferrer López,Espanya,Sí,Sevilla,1969-07-19,19,7,1969,56,,No,Grup C,2423.0,0.02,2471.46
41282325G,Marc,García,Marc García,Espanya,Sí,Madrid,1955-10-19,19,10,1955,70,Home,Sí,Grup C,2176.0,0.02,2219.52
90370999E,Marc,Sánchez López,Marc Sánchez López,Espanya,Sí,Bilbao,1990-08-06,6,8,1990,35,Home,No,Grup C,1987.0,0.02,2026.74
82284855A,Pau,Romero Romero,Pau Romero Romero,Espanya,Sí,Madrid,1988-12-06,6,12,1988,37,Home,No,Grup C,2722.0,0.02,2776.44
30477300W,Sophie,Brown,Sophie Brown,Regne Unit,No,Londres,1956-05-12,12,5,1956,70,Dona,No,Grup C,1532.0,0.02,1562.64
35957209T,Pau,López Martínez,Pau López Martínez,Espanya,Sí,València,1988-01-01,1,1,1988,38,Home,No,Grup C,2805.0,0.02,2861.1
80887497Q,Toni,Ferrer,Toni Ferrer,Espanya,Sí,Barcelona,1985-04-12,12,4,1985,41,Home,No,Grup C,2639.0,0.02,2691.78
85738042R,Toni,García,Toni García,Espanya,Sí,Bilbao,1998-10-28,28,10,1998,27,Home,Sí,Grup C,2714.0,0.02,2768.28
98761038G,Olivia,Jones Brown,Olivia Jones Brown,Regne Unit,No,Londres,1965-01-20,20,1,1965,61,Altres,Sí,Grup C,2460.0,0.02,2509.2
60585845J,Arnau,Castells Castells,Arnau Castells Castells,Espanya,Sí,Madrid,1963-11-07,7,11,1963,62,Home,No,Grup C,2157.0,0.02,2200.14
98253101W,Arnau,Romero,Arnau Romero,Espanya,Sí,Madrid,1985-06-26,26,6,1985,40,Home,No,Grup C,2736.0,0.02,2790.7200000000003
22972474K,Marta,Romero,Marta Romero,Espanya,Sí,València,1958-12-03,3,12,1958,67,Dona,No,Grup C,1532.0,0.02,1562.64
58619725P,Valentina,Castro,Valentina Castro,Colòmbia,No,Bogotà,1951-09-02,2,9,1951,74,Dona,Sí,Grup C,2597.0,0.02,2648.94
25710763B,Eva,Castells García,Eva Castells García,Espanya,Sí,Bilbao,1993-03-18,18,3,1993,33,Dona,No,Grup C,2628.0,0.02,2680.56
76564295Y,Clara,Romero,Clara Romero,Espanya,Sí,Madrid,1986-12-05,5,12,1986,39,Dona,No,Grup C,2543.0,0.02,2593.86
32044922L,Gabriela,Ramírez González,Gabriela Ramírez González,Mèxic,No,Ciutat de Mèxic,1980-05-07,7,5,1980,46,Dona,No,Grup C,2356.0,0.02,2403.12
12499600L,Pau,Ferrer López,Pau Ferrer López,Espanya,Sí,Bilbao,1960-11-22,22,11,1960,65,Home,Sí,Grup C,2570.0,0.02,2621.4
13453262F,Clara,Martínez,Clara Martínez,Espanya,Sí,Sevilla,2001-07-04,4,7,2001,24,Dona,Sí,Grup C,2526.0,0.02,2576.52
96105165A,Marta,Martínez Castells,Marta Martínez Castells,Espanya,Sí,Barcelona,1977-07-16,16,7,1977,48,Dona,Sí,Grup C,2452.0,0.02,2501.04
85141625T,Clara,Ferrer,Clara Ferrer,Espanya,Sí,Sevilla,1999-12-21,21,12,1999,26,Altres,Sí,Grup C,2393.0,0.02,2440.86
46969469J,Marc,Romero Romero,Marc Romero Romero,Espanya,Sí,Bilbao,1959-08-08,8,8,1959,66,Home,Sí,Grup C,2180.0,0.02,2223.6
86767469V,Eva,García Martínez,Eva García Martínez,Espanya,Sí,Madrid,1965-07-10,10,7,1965,60,Dona,Sí,Grup C,1994.0,0.02,2033.88
33077646V,Eva,Martínez,Eva Martínez,Espanya,Sí,Sevilla,1986-03-18,18,3,1986,40,Dona,No,Grup C,1800.0,0.02,1836.0
56070621Z,Marc,Castells,Marc Castells,Espanya,Sí,Madrid,1976-11-28,28,11,1976,49,Home,No,Grup C,2217.0,0.02,2261.34
42831725E,Arnau,Sánchez,Arnau Sánchez,Espanya,Sí,Sevilla,1967-11-13,13,11,1967,58,Home,No,Grup C,2069.0,0.02,2110.38
43764388P,Clara,Castells Castells,Clara Castells Castells,Espanya,Sí,València,1962-08-15,15,8,1962,63,Dona,Sí,Grup C,2326.0,0.02,2372.52
