DNI,Nom,Cognoms,Nombre_completo,País d'origen,Nacionalidad_esp,Ciutat,Fecha_de_nacimiento,Dia,Mes,Año,Edad,Gènere,Fills,Grup Professional,Salari mensual,Increment,Salario_incrementado
26930927E,Laia,Castells Ferrer,Laia Castells Ferrer,Espanya,Sí,Madrid,1953-12-16,16,12,1953,72,Altres,No,Grup D,2611.0,0.08,2819.88
33234964B,Marta,Romero,Marta Romero,Espanya,Sí,Madrid,2001-05-10,10,5,2001,25,Dona,Sí,Grup D,2810.0,0.08,3034.8
98967015K,Laia,Martínez Sánchez,Laia Martínez Sánchez,Espanya,Sí,Madrid,1961-06-14,14,6,1961,64,Dona,No,Grup D,2596.0,0.08,2803.6800000000003
58465525T,Clara,Ferrer,Clara Ferrer,Espanya,Sí,Madrid,1990-07-17,17,7,1990,35,Dona,No,Grup D,2679.0,0.08,2893.32
89245220G,Michel,Lefevre,Michel Lefevre,França,No,París,1974-08-21,21,8,1974,51,Home,No,Grup D,2661.0,0.08,2873.88
32447081S,Marc,Martínez,Marc Martínez,Espanya,Sí,Sevilla,1977-08-01,1,8,1977,48,Home,No,Grup D,3040.0,0.08,3283.2000000000003
79911049R,Lea,Schneider,Lea Schneider,Alemanya,No,Munic,1950-09-22,22,9,1950,75,Dona,Sí,Grup D,2668.0,0.08,2881.44
31532532F,Laia,Castells,Laia Castells,Espanya,Sí,Bilbao,1950-04-19,19,4,1950,76,Dona,No,Grup D,2448.0,0.08,2643.84
17081236L,Eva,Sánchez,Eva Sánchez,Espanya,Sí,Madrid,1992-09-09,9,9,1992,33,Dona,Sí,Grup D,2885.0,0.08,3115.8
97855153L,Carla,Martínez,Carla Martínez,Espanya,Sí,Madrid,1973-03-21,21,3,1973,53,Dona,No,Grup D,2850.0,0.08,3078.0
58847232T,Arnau,Sánchez García,Arnau Sánchez García,Espanya,Sí,València,1978-02-24,24,2,1978,48,Home,No,Grup D,3283.0,0.08,3545.6400000000003
58966169Z,Núria,Sánchez Castells,Núria Sánchez Castells,Espanya,Sí,Madrid,1981-05-12,12,5,1981,45,,No,Grup D,2742.0,0.08,2961.36
81229041Z,Carla,López Ferrer,Carla López Ferrer,Espanya,Sí,Sevilla,1962-09-04,4,9,1962,63,Dona,No,Grup D,2861.0,0.08,3089.88
99258742G,Amina,Bennani,Amina Bennani,Marroc,No,Casablanca,2004-10-22,22,10,2004,21,Dona,Sí,Grup D,2948.0,0.08,3183.84
33484869X,Jordi,Sánchez,Jordi Sánchez,Espanya,Sí,Barcelona,1981-06-06,6,6,1981,44,Home,No,Grup D,2756.0,0.08,2976.48
88845881E,Pau,Martínez López,Pau Martínez López,Espanya,Sí,Madrid,2000-11-03,3,11,2000,25,Home,Sí,Grup D,2785.0,0.08,3007.8
73128127J,Arnau,Castells Sánchez,Arnau Castells Sánchez,Espanya,Sí,València,1998-04-17,17,4,1998,28,Home,No,Grup D,2791.0,0.08,3014.28
91487269P,Maria,Silva Oliveira,Maria Silva Oliveira,Portugal,No,Lisboa,1993-09-04,4,9,1993,32,,No,Grup D,2894.0,0.08,3125.52
94898766F,Joan,Romero,Joan Romero,Espanya,Sí,Barcelona,1969-04-26,26,4,1969,57,Altres,No,Grup D,3175.0,0.08,3429.0
